,county,clid,hhid,resid,eatype,strat,hhsize,ctry_adq,padqnfitems,padqeduc,padqrent,padqegy,padqexp,padqfdcons,pl_abs,pl_food,pdeflator,weight,weight_pop,weight_adq
37,Mombasa,406.0,2.0,Urban,Urban,12,2,2.0,5293.389,0.0,3279.5745,426.8132,12589.311,3589.5337,5995.902,2551.1006,1.0672116,1104.8189759310403,2209.638,2209.638
38,Mombasa,406.0,3.0,Urban,Urban,12,2,2.0,20273.918,0.0,1218.3113,838.1981,31795.365,9464.9375,5995.902,2551.1006,1.0260104,1104.8189759310403,2209.638,2209.638
39,Mombasa,406.0,4.0,Urban,Urban,12,4,2.479999989271164,8692.448,0.0,1205.7308,602.8654,17883.525,7382.481,5995.902,2551.1006,1.0032732,1104.8189759310403,4419.276,2739.951
40,Mombasa,406.0,5.0,Urban,Urban,12,4,3.649999976158142,1854.3943,348.50998,1214.1638,229.34204,5687.166,2040.7565,5995.902,2551.1006,1.0154122,1104.8189759310403,4419.276,4032.5894
41,Mombasa,406.0,6.0,Urban,Urban,12,12,9.83999989926815,415.71265,371.58698,315.77838,115.000374,2803.5454,1585.467,5995.902,2551.1006,1.060442,1104.8189759310403,13257.828,10871.419
42,Mombasa,406.0,7.0,Urban,Urban,12,7,5.949999928474426,1533.6865,568.07587,1326.8926,245.47513,7342.6543,3668.524,5995.902,2551.1006,1.0132982,1104.8189759310403,7733.733,6573.673
43,Mombasa,406.0,8.0,Urban,Urban,12,5,3.889999970793724,4621.4375,226.41493,1832.2375,503.86533,12664.154,5480.199,5995.902,2551.1006,1.1224283,1104.8189759310403,5524.0947,4297.7456
44,Mombasa,452.0,1.0,Urban,Urban,12,2,2.0,3720.4517,0.0,4302.5835,8032.2324,30201.898,14146.631,5995.902,2551.1006,1.232534,705.3266094379221,1410.6532,1410.6532
45,Mombasa,452.0,2.0,Urban,Urban,12,3,2.299999952316284,10259.956,879.79816,4115.8486,3117.7275,28447.777,10074.445,5995.902,2551.1006,1.2504927,705.3266094379221,2115.9797,1622.2512
46,Mombasa,452.0,3.0,Urban,Urban,12,3,3.0,7199.0103,0.0,2283.34,2964.0247,26449.227,14002.852,5995.902,2551.1006,1.2860892,705.3266094379221,2115.9797,2115.9797
47,Mombasa,452.0,4.0,Urban,Urban,12,1,1.0,1496.5404,0.0,2194.6199,156.76051,8331.64,4483.719,5995.902,2551.1006,1.2758315,705.3266094379221,705.3266,705.3266
48,Mombasa,452.0,5.0,Urban,Urban,12,4,3.649999976158142,16278.835,8.112241,2980.8162,8381.568,36986.91,9337.577,5995.902,2551.1006,1.1257579,705.3266094379221,2821.3064,2574.4421
49,Mombasa,501.0,1.0,Urban,Urban,12,6,4.539999946951866,2464.4727,305.7949,496.64624,257.35306,6104.1294,2579.8625,5995.902,2551.1006,0.97570753,721.5144332610874,4329.0864,3275.6755
50,Mombasa,501.0,2.0,Urban,Urban,12,3,3.0,1583.1548,1452.1205,836.7963,291.2051,7267.664,3104.3875,5995.902,2551.1006,0.99586165,721.5144332610874,2164.5432,2164.5432
51,Mombasa,501.0,3.0,Urban,Urban,12,4,2.539999946951866,3662.338,412.2326,931.5991,626.0346,11683.792,6051.5874,5995.902,2551.1006,1.0565188,721.5144332610874,2886.0576,1832.6466
52,Mombasa,501.0,4.0,Urban,Urban,12,2,2.0,3227.0461,259.03732,808.00635,275.67276,5792.0654,1222.303,5995.902,2551.1006,1.0519719,721.5144332610874,1443.0288,1443.0288
53,Mombasa,501.0,5.0,Urban,Urban,12,2,2.0,849.6256,0.0,689.2405,190.68987,3263.9504,1534.3943,5995.902,2551.1006,1.0881543,721.5144332610874,1443.0288,1443.0288
54,Mombasa,501.0,6.0,Urban,Urban,12,3,2.239999994635582,2878.8044,0.0,839.4764,281.2246,8111.7075,4112.2017,5995.902,2551.1006,1.0635881,721.5144332610874,2164.5432,1616.1924
55,Mombasa,501.0,7.0,Urban,Urban,12,1,1.0,1425.5134,0.0,1586.0017,202.65578,4691.0693,1476.8986,5995.902,2551.1006,1.1349294,721.5144332610874,721.5144,721.5144
56,Mombasa,501.0,8.0,Urban,Urban,12,2,2.0,5396.9697,0.0,1013.5154,197.6355,14450.041,7841.9214,5995.902,2551.1006,0.98666483,721.5144332610874,1443.0288,1443.0288
57,Mombasa,635.0,1.0,Urban,Urban,12,4,2.889999970793724,3320.322,152.69377,441.11536,441.11536,8619.428,4264.1816,5995.902,2551.1006,1.0197492,2068.341375348451,8273.365,5977.5063
58,Mombasa,635.0,2.0,Urban,Urban,12,7,5.949999928474426,804.5846,271.51614,1129.2416,448.3753,5717.359,3063.641,5995.902,2551.1006,1.0120573,2068.341375348451,14478.39,12306.631
59,Mombasa,635.0,3.0,Urban,Urban,12,5,3.889999970793724,3784.3362,36.614735,1977.0367,3710.2932,14991.791,5483.511,5995.902,2551.1006,1.0531392,2068.341375348451,10341.707,8045.8477
60,Mombasa,635.0,4.0,Urban,Urban,12,7,4.83999989926815,1402.8391,57.443844,590.4557,423.2704,5311.2974,2837.289,5995.902,2551.1006,1.0250759,2068.341375348451,14478.39,10010.772
61,Mombasa,635.0,5.0,Urban,Urban,12,4,3.299999952316284,1975.28,516.5922,722.15106,428.03357,8296.657,4654.601,5995.902,2551.1006,1.0265409,2068.341375348451,8273.365,6825.5264
